
Host: node2610.swalot.os

Timers On : Wed Mar 10 12:56:50 2021
Timers Off: Wed Mar 10 16:33:44 2021

Wall Time:    13013.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.033u      0.000s      0.006w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.003w      6 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.400u      0.000s      0.237w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.300u      0.000s      0.187w      1 calls
| SAD Guess                         :      0.283u      0.000s      0.175w      1 calls
HF: Form G                          :      0.017u      0.000s      0.019w      7 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w      7 calls
| JK: JK                            :      0.017u      0.000s      0.017w      7 calls
| | PK computes JK                  :      0.017u      0.000s      0.017w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.033u      0.000s      0.006w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.003w      6 calls

**************************************************************************************

Host: node3105.skitty.os

Timers On : Thu Apr  8 07:00:30 2021
Timers Off: Thu Apr  8 07:06:41 2021

Wall Time:      370.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: node3105.skitty.os

Timers On : Thu Apr  8 07:07:36 2021
Timers Off: Thu Apr  8 07:08:44 2021

Wall Time:       67.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: node3105.skitty.os

Timers On : Thu Apr  8 07:09:08 2021
Timers Off: Thu Apr  8 07:11:29 2021

Wall Time:      141.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: node3105.skitty.os

Timers On : Thu Apr  8 07:11:56 2021
Timers Off: Thu Apr  8 09:25:17 2021

Wall Time:     8000.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.100u      0.000s      0.057w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.283u      0.000s      0.176w      1 calls
SAD Guess                           :      0.267u      0.000s      0.165w      1 calls
